"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","631","Concrete blocks and bricks","%","17.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","64","Other concrete products including precast","%","9.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","64261","Other concrete products (excluding precast concrete)","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","64262","Precast concrete","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","65","Structural steel and reinforcing metal","%","4.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","651","Structural steel","%","23.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","65161","Other structural steel","%","-30.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","65162","Structural steel fabricated metal","%","32"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","652","Reinforcing metal","%","-21"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","653","Other steel products","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","661","Rough timber (including plain sawn)","%","-16.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","66161","Rough timber (softwood)","%","-16"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","66162","Rough timber (hardwood)","%","-21.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","671","Machined, treated engineered timber","%","-13.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","67161","Other treated timber","%","-31.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","67162","Wooden windows and doors","%","13.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","68","Bituminous macadam, asphalt and bituminous emulsions","%","11.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","681","Bituminous macadam and asphalt","%","11.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","682","Bituminous emulsions","%","10.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","691","Electrical fittings","%","11"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","69162","Lighting equipment","%","0"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","69163","Protection and communication equipment","%","13"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","70","All other materials","%","8.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","700","Plumbing materials including sanitary ware","%","11.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","701","HVAC (heating and ventilation equipment)","%","5.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","702","Insulating materials","%","0.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","703","Pipes and fittings","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","70371","PVC pipes and fittings","%","10.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","70372","Copper pipes and fittings","%","16.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","704","Plaster","%","35.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","705","Paints, oils and varnishes","%","11.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","706","Glass","%","6.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","708","All other metal fittings","%","0.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","709","All other products","%","5.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","-","Materials","%","6.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","601","Stone, sand and gravel","%","9.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","60161","Sand and gravel","%","1.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","60162","Stone","%","11.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","611","Cement","%","24"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","621","Ready mixed mortar and concrete","%","16.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","631","Concrete blocks and bricks","%","14.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","64","Other concrete products including precast","%","5.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","64261","Other concrete products (excluding precast concrete)","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","64262","Precast concrete","%",""
