"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200508","2005 August","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","-","National - all residential properties","Base 2015=100","135.2"
"HPM09C01","Residential Property Price Index","200509","2005 September","01","National - houses","Base 2015=100","131.3"
"HPM09C01","Residential Property Price Index","200509","2005 September","02","National - apartments","Base 2015=100","158.3"
"HPM09C01","Residential Property Price Index","200509","2005 September","05","Dublin - all residential properties","Base 2015=100","130"
"HPM09C01","Residential Property Price Index","200509","2005 September","06","Dublin - houses","Base 2015=100","123.8"
"HPM09C01","Residential Property Price Index","200509","2005 September","07","Dublin - apartments","Base 2015=100","153.8"
"HPM09C01","Residential Property Price Index","200509","2005 September","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","03","National excluding Dublin - all residential properties","Base 2015=100","152.7"
"HPM09C01","Residential Property Price Index","200509","2005 September","04","National excluding Dublin - houses","Base 2015=100","150.1"
"HPM09C01","Residential Property Price Index","200509","2005 September","12","National excluding Dublin - apartments","Base 2015=100","197.2"
"HPM09C01","Residential Property Price Index","200509","2005 September","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200509","2005 September","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","-","National - all residential properties","Base 2015=100","138.1"
"HPM09C01","Residential Property Price Index","200510","2005 October","01","National - houses","Base 2015=100","134.1"
"HPM09C01","Residential Property Price Index","200510","2005 October","02","National - apartments","Base 2015=100","161.4"
"HPM09C01","Residential Property Price Index","200510","2005 October","05","Dublin - all residential properties","Base 2015=100","133.7"
"HPM09C01","Residential Property Price Index","200510","2005 October","06","Dublin - houses","Base 2015=100","127.7"
"HPM09C01","Residential Property Price Index","200510","2005 October","07","Dublin - apartments","Base 2015=100","156.2"
"HPM09C01","Residential Property Price Index","200510","2005 October","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","03","National excluding Dublin - all residential properties","Base 2015=100","155.3"
"HPM09C01","Residential Property Price Index","200510","2005 October","04","National excluding Dublin - houses","Base 2015=100","152.5"
"HPM09C01","Residential Property Price Index","200510","2005 October","12","National excluding Dublin - apartments","Base 2015=100","205"
"HPM09C01","Residential Property Price Index","200510","2005 October","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200510","2005 October","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","-","National - all residential properties","Base 2015=100","139.3"
"HPM09C01","Residential Property Price Index","200511","2005 November","01","National - houses","Base 2015=100","135.3"
"HPM09C01","Residential Property Price Index","200511","2005 November","02","National - apartments","Base 2015=100","163.4"
"HPM09C01","Residential Property Price Index","200511","2005 November","05","Dublin - all residential properties","Base 2015=100","135.4"
"HPM09C01","Residential Property Price Index","200511","2005 November","06","Dublin - houses","Base 2015=100","129.5"
"HPM09C01","Residential Property Price Index","200511","2005 November","07","Dublin - apartments","Base 2015=100","157.8"
"HPM09C01","Residential Property Price Index","200511","2005 November","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
