year,month,day,avg_mean_temp
2020,11,5,7.5874999999999995
2020,11,6,6.625
2020,11,7,6.808333333333334
2020,11,8,10.670833333333334
2020,11,9,11.520833333333334
2020,11,10,9.391666666666667
2020,11,11,9.833333333333334
2020,11,12,7.316666666666666
2020,11,13,6.145833333333333
2020,11,14,8.204166666666667
2020,11,15,7.466666666666666
2020,11,16,8.629166666666666
2020,11,17,11.770833333333334
2020,11,18,7.991666666666667
2020,11,19,5.008333333333334
2020,11,20,9.895833333333334
2020,11,21,6.9750000000000005
2020,11,22,4.179166666666666
2020,11,23,7.145833333333333
2020,11,24,5.454166666666667
2020,11,25,4.720833333333333
2020,11,26,5.125
2020,11,27,3.716666666666667
2020,11,28,4.258333333333334
2020,11,29,6.995833333333334
2020,11,30,7.7625
2020,12,1,8.041666666666666
2020,12,2,5.004166666666666
2020,12,3,0.9791666666666666
2020,12,4,3.1374999999999997
2020,12,5,4.991666666666666
2020,12,6,2.0791666666666666
2020,12,7,0.5166666666666667
2020,12,8,3.858333333333333
2020,12,9,4.175
2020,12,10,6.1875
2020,12,11,6.308333333333334
2020,12,12,3.8666666666666667
2020,12,13,7.454166666666667
2020,12,14,6.154166666666666
2020,12,15,4.416666666666667
2020,12,16,6.329166666666667
2020,12,17,7.016666666666667
2020,12,18,7.616666666666667
2020,12,19,4.941666666666666
2020,12,20,4.508333333333334
2020,12,21,3.7458333333333336
2020,12,22,3.0208333333333335
2020,12,23,3.9166666666666665
2020,12,24,3.408333333333333
2020,12,25,4.375
2020,12,26,5.9125000000000005
2020,12,27,1.8875
2020,12,28,3.9916666666666667
2020,12,29,2.6666666666666665
2020,12,30,0.7166666666666667
2020,12,31,2.0166666666666666
2021,1,1,2.5833333333333335
2021,1,2,2.1374999999999997
2021,1,3,0.9125
2021,1,4,0.25
2021,1,5,1.1333333333333333
2021,1,6,0.6833333333333332
2021,1,7,1.7041666666666666
2021,1,8,0.6875
2021,1,9,1.6291666666666667
2021,1,10,4.554166666666666
2021,1,11,7.75
2021,1,12,5.354166666666667
2021,1,13,8.8125
2021,1,14,5.5874999999999995
2021,1,15,3.8791666666666664
2021,1,16,5.979166666666667
2021,1,17,4.104166666666667
2021,1,18,4.883333333333334
2021,1,19,7.045833333333333
2021,1,20,2.066666666666667
2021,1,21,2.0083333333333333
2021,1,22,0.8291666666666666
2021,1,23,-0.32083333333333336
2021,1,24,-0.2708333333333333
2021,1,25,-0.11249999999999999
2021,1,26,4.9624999999999995
2021,1,27,7.5
2021,1,28,8.5
2021,1,29,6.741666666666667
2021,1,30,2.9416666666666664
2021,1,31,1.2583333333333333
2021,2,1,3.8166666666666664
2021,2,2,5.420833333333333
2021,2,3,5.504166666666666
2021,2,4,4.8500000000000005
2021,2,5,3.6958333333333333
2021,2,6,3.5416666666666665
2021,2,7,1.9291666666666665
2021,2,8,-0.029166666666666674
2021,2,9,-0.7958333333333334
2021,2,10,-1.4291666666666665
2021,2,11,-1.2625
2021,2,12,0.4708333333333334
2021,2,13,1.8791666666666667
2021,2,14,8.575000000000001
2021,2,15,7.925
2021,2,16,6.954166666666667
2021,2,17,4.929166666666666
2021,2,18,3.7375000000000003
2021,2,19,7.691666666666666
2021,2,20,6.2375
2021,2,21,5.608333333333333
2021,2,22,5.470833333333334
2021,2,23,9.129166666666666
2021,2,24,7.820833333333333
2021,2,25,4.645833333333333
2021,2,26,6.604166666666667
2021,2,27,7.291666666666667
2021,2,28,6.645833333333333
2021,3,1,3.470833333333333
2021,3,2,3.2416666666666667
2021,3,3,3.1041666666666665
2021,3,4,2.7458333333333336
2021,3,5,3.6333333333333333
2021,3,6,3.5833333333333335
2021,3,7,3.983333333333333
2021,3,8,6.1125
2021,3,9,7.141666666666667
2021,3,10,6.483333333333333
2021,3,11,4.283333333333333
2021,3,12,3.216666666666667
2021,3,13,3.5
2021,3,14,6.7124999999999995
2021,3,15,8.995833333333334
2021,3,16,8.516666666666667
2021,3,17,6.9624999999999995
2021,3,18,7.6125
2021,3,19,8.554166666666667
2021,3,20,6.55
2021,3,21,7.695833333333333
2021,3,22,6.8999999999999995
2021,3,23,7.0125
2021,3,24,5.6375
2021,3,25,7.404166666666666
2021,3,26,2.566666666666667
2021,3,27,5.120833333333334
2021,3,28,9.266666666666667
2021,3,29,10.637500000000001
2021,3,30,10.529166666666667
2021,3,31,7.8875
2021,4,1,8.483333333333333
2021,4,2,7.533333333333334
2021,4,3,7.670833333333333
2021,4,4,6.858333333333333
2021,4,5,2.8666666666666667
2021,4,6,2.8958333333333335
2021,4,7,4.733333333333333
2021,4,8,5.9875
2021,4,9,3.608333333333333
2021,4,10,1.6958333333333335
2021,4,11,2.5875
2021,4,12,5.245833333333334
2021,4,13,6.7749999999999995
2021,4,14,7.858333333333333
2021,4,15,7.3374999999999995
2021,4,16,6.358333333333333
2021,4,17,7.758333333333333
2021,4,18,7.479166666666667
2021,4,19,7.308333333333334
2021,4,20,7.5125
2021,4,21,7.816666666666666
2021,4,22,9.079166666666667
2021,4,23,9.066666666666666
2021,4,24,11.379166666666668
2021,4,25,10.458333333333334
2021,4,26,9.65
2021,4,27,8.020833333333334
2021,4,28,6.654166666666666
2021,4,29,5.654166666666666
2021,4,30,6.3875
2021,5,1,6.383333333333333
2021,5,2,6.204166666666667
2021,5,3,6.758333333333333
2021,5,4,5.154166666666667
2021,5,5,3.908333333333333
2021,5,6,4.579166666666667
2021,5,7,6.583333333333333
2021,5,8,8.5
2021,5,9,10.0
2021,5,10,9.516666666666667
2021,5,11,9.129166666666666
2021,5,12,8.35
2021,5,13,8.904166666666667
2021,5,14,9.258333333333333
2021,5,15,7.95
2021,5,16,9.325000000000001
2021,5,17,8.529166666666667
2021,5,18,8.683333333333334
2021,5,19,9.65
2021,5,20,9.029166666666667
2021,5,21,7.745833333333334
2021,5,22,6.4875
2021,5,23,7.2875000000000005
2021,5,24,7.954166666666667
2021,5,25,9.575
2021,5,26,9.941666666666666
2021,5,27,9.25
2021,5,28,10.991666666666667
2021,5,29,12.995833333333332
2021,5,30,14.741666666666667
2021,5,31,13.995833333333332
2021,6,1,10.441666666666666
2021,6,2,11.9
2021,6,3,12.879166666666668
2021,6,4,11.870833333333332
2021,6,5,11.333333333333334
2021,6,6,11.283333333333333
2021,6,7,12.25
2021,6,8,13.829166666666666
2021,6,9,14.354166666666666
2021,6,10,14.141666666666666
2021,6,11,12.266666666666666
2021,6,12,12.654166666666667
2021,6,13,13.791666666666666
2021,6,14,10.841666666666667
2021,6,15,10.9
2021,6,16,11.5
2021,6,17,10.066666666666666
2021,6,18,9.841666666666667
2021,6,19,12.200000000000001
2021,6,20,12.554166666666667
2021,6,21,10.595833333333333
2021,6,22,9.1875
2021,6,23,13.920833333333334
2021,6,24,11.441666666666668
2021,6,25,10.366666666666667
2021,6,26,11.370833333333332
2021,6,27,12.058333333333332
2021,6,28,12.283333333333333
2021,6,29,11.645833333333334
2021,6,30,12.533333333333333
2021,7,1,12.520833333333334
2021,7,2,13.608333333333334
2021,7,3,13.808333333333332
2021,7,4,13.604166666666666
2021,7,5,12.216666666666667
2021,7,6,12.266666666666666
2021,7,7,13.133333333333333
2021,7,8,12.704166666666666
2021,7,9,13.954166666666666
2021,7,10,15.041666666666666
2021,7,11,13.85
2021,7,12,15.0625
2021,7,13,14.408333333333333
2021,7,14,14.779166666666667
2021,7,15,15.708333333333334
2021,7,16,18.0125
2021,7,17,19.85
2021,7,18,17.633333333333333
2021,7,19,18.587500000000002
2021,7,20,21.454166666666666
2021,7,21,22.150000000000002
2021,7,22,22.162499999999998
2021,7,23,21.162499999999998
2021,7,24,20.55
2021,7,25,18.441666666666666
2021,7,26,14.845833333333333
2021,7,27,14.066666666666668
2021,7,28,11.691666666666668
2021,7,29,12.575000000000001
2021,7,30,13.070833333333333
2021,7,31,13.325000000000001
2021,8,1,12.208333333333334
2021,8,2,12.520833333333334
2021,8,3,14.770833333333334
2021,8,4,14.6875
2021,8,5,14.4
2021,8,6,14.229166666666666
2021,8,7,13.370833333333332
2021,8,8,13.395833333333334
2021,8,9,14.283333333333333
2021,8,10,14.133333333333333
2021,8,11,14.299999999999999
2021,8,12,12.795833333333334
2021,8,13,13.166666666666666
2021,8,14,12.270833333333334
2021,8,15,12.987499999999999
2021,8,16,12.362499999999999
2021,8,17,12.504166666666668
2021,8,18,12.695833333333333
2021,8,19,13.450000000000001
2021,8,20,15.345833333333333
2021,8,21,14.245833333333332
2021,8,22,15.295833333333334
2021,8,23,16.741666666666667
2021,8,24,17.125
2021,8,25,17.641666666666666
2021,8,26,17.008333333333333
2021,8,27,16.491666666666667
2021,8,28,15.554166666666667
2021,8,29,13.804166666666667
2021,8,30,14.237499999999999
2021,8,31,13.591666666666667
2021,9,1,13.770833333333334
2021,9,2,13.204166666666666
2021,9,3,13.383333333333333
2021,9,4,13.970833333333333
2021,9,5,15.091666666666667
2021,9,6,16.420833333333334
2021,9,7,18.491666666666667
2021,9,8,16.412499999999998
2021,9,9,17.025
2021,9,10,14.616666666666667
2021,9,11,12.825000000000001
2021,9,12,11.916666666666666
2021,9,13,12.920833333333334
2021,9,14,14.520833333333334
2021,9,15,12.858333333333334
2021,9,16,13.8375
2021,9,17,14.174999999999999
2021,9,18,10.75
2021,9,19,11.583333333333334
2021,9,20,13.329166666666666
2021,9,21,13.6625
2021,9,22,14.295833333333334
2021,9,23,12.904166666666667
2021,9,24,15.004166666666668
2021,9,25,14.741666666666667
2021,9,26,12.166666666666666
2021,9,27,8.933333333333334
2021,9,28,7.895833333333333
2021,9,29,8.512500000000001
2021,9,30,11.695833333333333
2021,10,1,8.1
2021,10,2,7.970833333333334
2021,10,3,9.241666666666667
2021,10,4,8.741666666666667
2021,10,5,8.9125
2021,10,6,11.025
2021,10,7,15.516666666666666
2021,10,8,14.6
2021,10,9,12.950000000000001
2021,10,10,10.179166666666667
2021,10,11,10.604166666666666
2021,10,12,11.1
2021,10,13,10.991666666666667
2021,10,14,11.466666666666667
2021,10,15,8.820833333333333
2021,10,16,10.766666666666666
2021,10,17,12.216666666666667
2021,10,18,13.829166666666666
2021,10,19,13.045833333333334
2021,10,20,8.4125
2021,10,21,6.670833333333333
2021,10,22,8.362499999999999
2021,10,23,10.104166666666666
2021,10,24,10.1875
2021,10,25,8.0375
2021,10,26,12.595833333333333
2021,10,27,12.733333333333334
2021,10,28,9.633333333333333
2021,10,29,7.0625
2021,10,30,6.304166666666666
2021,10,31,7.070833333333333
2021,11,1,6.470833333333334
2021,11,2,6.108333333333333
2021,11,3,6.375
2021,11,4,6.104166666666667
2021,11,5,8.220833333333333
2021,11,6,9.433333333333334
2021,11,7,8.179166666666667
2021,11,8,11.633333333333333
2021,11,9,9.483333333333333
2021,11,10,7.379166666666666
2021,11,11,8.887500000000001
2021,11,12,9.85
2021,11,13,10.733333333333334
2021,11,14,11.991666666666667
2021,11,15,8.341666666666667
2021,11,16,8.491666666666667
2021,11,17,8.720833333333333
2021,11,18,11.633333333333333
2021,11,19,9.983333333333333
2021,11,20,8.025
2021,11,21,5.375
2021,11,22,5.308333333333334
2021,11,23,5.7250000000000005
2021,11,24,5.0125
2021,11,25,4.470833333333333
2021,11,26,4.966666666666667
2021,11,27,2.8541666666666665
2021,11,28,4.754166666666666
2021,11,29,7.55
2021,11,30,8.833333333333334
2021,12,1,4.866666666666666
2021,12,2,5.604166666666667
2021,12,3,6.329166666666667
2021,12,4,3.5708333333333333
2021,12,5,4.145833333333333
2021,12,6,3.408333333333333
2021,12,7,2.954166666666667
2021,12,8,4.25
2021,12,9,4.2749999999999995
2021,12,10,3.3333333333333335
2021,12,11,7.920833333333333
2021,12,12,8.179166666666667
2021,12,13,4.2749999999999995
2021,12,14,6.716666666666666
2021,12,15,8.833333333333334
2021,12,16,7.7250000000000005
2021,12,17,6.1000000000000005
2021,12,18,5.183333333333333
2021,12,19,4.133333333333334
2021,12,20,3.6208333333333336
2021,12,21,4.145833333333333
2021,12,22,6.870833333333334
2021,12,23,9.362499999999999
2021,12,24,7.029166666666666
2021,12,25,7.129166666666666
2021,12,26,7.354166666666667
2021,12,27,5.116666666666666
2021,12,28,5.416666666666667
2021,12,29,9.158333333333333
2021,12,30,10.808333333333332
2021,12,31,10.987499999999999
2022,1,1,9.725
2022,1,2,7.641666666666667
2022,1,3,5.3875
2022,1,4,1.8583333333333334
2022,1,5,2.158333333333333
2022,1,6,3.15
2022,1,7,2.3041666666666667
2022,1,8,4.6625000000000005
2022,1,9,4.3875
2022,1,10,7.8999999999999995
2022,1,11,4.633333333333334
2022,1,12,5.6625000000000005
2022,1,13,5.5874999999999995
2022,1,14,4.233333333333333
2022,1,15,4.3374999999999995
2022,1,16,5.329166666666667
2022,1,17,1.9833333333333334
2022,1,18,6.429166666666667
2022,1,19,6.308333333333334
2022,1,20,4.658333333333333
2022,1,21,5.033333333333333
